tag,label,tier,test_ef_0.5,test_ef_0.5_std,test_ef_1,test_ef_1_std,test_ef_5,test_ef_5_std,test_ef_10,test_ef_10_std,test_ef_20,test_ef_20_std,test_auroc,test_auroc_std,test_auprc,test_auprc_std,test_bedroc,test_bedroc_std,train_ef_0.5,train_ef_0.5_std,train_ef_1.0,train_ef_1.0_std,train_ef_5.0,train_ef_5.0_std,train_ef_10.0,train_ef_10.0_std,train_ef_20.0,train_ef_20.0_std,train_ef_30.0,train_ef_30.0_std,n_eff,n_modalities,n_significant,entropy_norm
V00,Best config (reference),reference,24.71710529746416,9.24795723135857,22.51978140594772,7.248600432891654,13.007034431691968,0.8792627282368322,7.760829322473159,1.0164946461340778,4.604035542391706,0.3102371254585634,0.9378799191818006,0.019874680615986597,0.09417498343689568,0.02712658199035336,0.536712251839077,0.05962837260913396,25.655659516969035,2.3727677349473684,22.363017320341704,1.8548115420330955,13.019262237598769,0.2282408913943649,7.9230679321146384,0.6445694298050856,4.572876244798728,0.2880016690591533,3.2627051288045257,0.0549377526607045,6.160935225374732,11,4,0.8462680779049958
V01,Rank normalization,normalization,21.42297844825338,8.08546209231553,16.474352222181665,3.626168630729444,7.542391706775268,0.6298162679001813,4.753424657534247,0.4279588863510497,3.483894853757868,0.2768963538463808,0.8511716450032422,0.020836092801839345,0.0529496489143655,0.015636519331377035,0.33168763760289116,0.030422427619843564,20.991591702724644,2.2735413847530577,17.0122976862531,1.0347739447236566,7.527373883772033,0.2034193326557115,4.760858385151247,0.1388520924757602,3.490345504698677,0.1283509398933071,2.8346969626131813,0.0436474897792417,5.402775998081148,11,4,0.812202501634829
V02,Robust normalization,normalization,24.15940887829755,9.301493544836948,22.51606342981994,7.650601178224893,12.13476490188819,0.9816519333164838,9.17919289152166,0.3981782406427965,4.972602739726027,0.054794520547945,0.9570305150148603,0.005524956078133389,0.09316803107145813,0.023322914879135456,0.542094121542286,0.04315456432409286,26.0669463505988,2.437136166888228,22.020278292316902,2.347367012831984,12.185936696432746,0.4811326505954129,9.316891860302023,0.1389563850234701,4.959020992098743,0.0258724656204756,3.32422428974395,0.005092138115559,6.11183384058167,11,5,0.8522406825177392
V03,Default EF objective (no BEDROC),objective,21.41554249599783,6.63710288576038,20.5975877478868,7.5188104595049055,12.079229914846357,1.410847324550985,8.657904479822289,1.351990233056118,4.6438356164383565,0.4362105021394699,0.9415642459796165,0.025095070640284354,0.08853986370957037,0.029913723559872138,0.5267478694562087,0.06653014544005588,25.10586855557582,1.855678315172548,23.323156104329,1.9986508543359212,12.199962597596896,0.4357363031223193,8.64799663378372,0.8343503792634296,4.791797185469166,0.2429454192835984,3.2878192840556677,0.0468996918311059,6.973557959529267,11,6,0.8913670481376258
V04,Sharp EF objective (no BEDROC),objective,17.563719227620442,8.636646475138976,19.76847907139244,6.856996352603864,10.603480192521287,1.936169092324055,7.29211403184006,1.5047940740900063,4.150870048130322,0.7373810206147883,0.9024135688352954,0.05630955080926996,0.07831313024520722,0.03288128523763537,0.46910509378610266,0.09034162166674699,29.358649536190445,1.9651907666737456,22.22545220361394,1.8641805124250004,10.997615596802095,1.1331467207972472,7.152414792650428,1.0377033483767304,4.143146009631119,0.6035106015372051,3.014727196222357,0.2995357076048042,8.161371905416788,11,8,0.9295268228861086
V05,BEDROC alpha=160 (top ~0.6%),objective,25.81019027903072,9.661828957291688,22.78747568714769,6.348583320536433,12.898926323583856,0.971643282038992,7.214365049981488,0.530365296767757,4.262495372084413,0.2041781811386957,0.9247989696977374,0.010809310949508547,0.09162381486307199,0.027456158241963607,0.5209809582934385,0.04659180931343452,25.51903341127696,3.176266248507836,22.431565125946666,1.8885779939650529,12.90995371452616,0.2074869921002605,7.260764879143485,0.3983547334848199,4.296297162092665,0.252473466484083,3.169347172222482,0.0910397877233418,5.9424171034970525,11,4,0.8379154441931658
V06,"BEDROC alpha=20 (standard, top ~5%)",objective,23.066323896731,9.656596837936709,21.419260472125607,6.699442220608086,13.336542021473528,1.0376110240575942,9.589411329137356,0.3127022529352405,4.986301369863014,0.0273972602739725,0.9611045836938514,0.004528616721726666,0.09889234514801024,0.023786560336415928,0.5690370709229529,0.04143272044894637,22.911869270699235,2.781327862217101,20.44273975236712,1.846772068566073,13.483753331151528,0.177792274962853,9.521740146804431,0.1494066744942709,4.986336434615924,0.0076382071733382,3.333333333333333,0.0,6.486328894369171,11,5,0.8672298604851227
V07,No drug-likeness filter,filter,27.99622963717142,11.095997874954,23.600219594594595,6.516002428694492,13.35085698379006,0.8082155046756577,8.60978633735515,0.7544358824036588,4.795900234650165,0.2252605047558697,0.9531687169909626,0.011958370871612589,0.09668527257999986,0.025081865508920106,0.5739045858380079,0.04701766551047388,27.835681337369675,2.6071193261004235,23.79071137617467,1.9795948284162992,13.417670259924549,0.2711910932829765,8.63202922455992,0.3377831278302057,4.837323921103819,0.1313995474382882,3.311053500567835,0.0266801368764178,6.106941004503893,11,4,0.8408473745623927
V08,Stricter filter (MW<500),filter,16.651547046067595,7.467524663297599,18.993979941876656,6.284764938822609,12.750254209447728,1.6868678913377873,9.155884217611185,0.8645359608121967,4.836041547493602,0.2656496453191301,0.954005325151679,0.019719195948485077,0.10490383169982584,0.03364378558997836,0.5522683466364493,0.06913870442939558,22.75610293675654,2.4667560209809505,20.76780579877921,1.5964955860006091,12.859921678841104,0.632358559287873,9.137621328054232,0.8496016974241127,4.857058870252194,0.2639927682867158,3.3068047325440424,0.0549276351126961,6.876639127799552,11,6,0.8803033556204246
V09,Drop 4 dead modalities (manual),modality,25.802754326775165,7.332316484159738,23.88056066871425,6.856371380314877,13.826730840429471,0.8807244318717132,9.39948167345428,0.2803758559173331,5.0,0.0,0.9637898981148213,0.004113458858725115,0.1028036969838815,0.021377913784209363,0.5922345973764646,0.03897463692070187,26.20357245629088,2.141171922575907,23.871538549168683,2.016285966341634,13.715975501425968,0.260473631372231,9.405582308663332,0.1742707166334994,4.993150684931507,0.015315534092464,3.333333333333333,0.0,4.912161760650851,7,4,0.8707642215594624
V10,Auto-prune at 3% threshold,modality,24.71710529746416,9.24795723135857,22.51978140594772,7.248600432891654,13.007034431691968,0.8792627282368322,7.760829322473159,1.0164946461340778,4.604035542391706,0.3102371254585634,0.9378799191818006,0.019874680615986597,0.09417498343689568,0.02712658199035336,0.536712251839077,0.05962837260913396,25.655659516969035,2.3727677349473684,22.363017320341704,1.8548115420330955,13.019262237598769,0.2282408913943649,7.9230679321146384,0.6445694298050856,4.572876244798728,0.2880016690591533,3.2627051288045257,0.0549377526607045,6.160935225374732,11,4,0.8462680779049958
V12,Strict CV (per-fold normalization),robustness,24.71710529746416,9.24795723135857,22.51978140594772,7.248600432891654,13.007034431691968,0.8792627282368322,7.870418363569049,0.7114854292217113,4.658830062939652,0.2867381804632498,0.9411993771845448,0.017627355079164346,0.0954226839103113,0.027057095859563684,0.5416792659658584,0.05446414184962114,25.655659516969035,2.3727677349473684,22.294469514736743,1.8962734435794464,13.046565991864975,0.266546846222579,7.943545747814296,0.8200064732824195,4.579702183365281,0.3209185506152003,3.264980441660043,0.0575879227782646,6.182228410138648,11,4,0.8469734890907561
V13,Multi-seed DE (3 seeds),robustness,25.259929812119665,9.14354877746456,22.791193663275468,6.979662223535494,13.06108848574602,0.8501006841840011,8.415401703072934,0.9898932077104052,4.767678637541652,0.2760771009003819,0.9494467653802984,0.014199420161957438,0.09615382628839317,0.025911266427455858,0.5510216471782767,0.05182981059399199,25.38099878903135,2.4367881412447234,22.43156512594667,1.949786378543003,13.046519238861098,0.2889173739763873,8.531114124082473,0.5904081065245268,4.842816400953761,0.1671021459874386,3.296897158975798,0.0464987293234462,6.076991946512823,11,4,0.8403266959547415
V14,Different seed (seed=7),robustness,24.6947974406975,3.0168713098841278,22.237215220236635,2.7477931407647564,13.061828952239912,1.2928892734977022,8.305072195483154,0.3963771849902703,4.808404294705665,0.1526914806189256,0.9502614363765172,0.007354648526681655,0.09455952688041117,0.006609482093450595,0.5511697078984914,0.036950609672736764,25.516685883687742,0.8749093917905181,22.568425984397667,0.8797951200763662,13.032914114731872,0.3922060284471293,8.49060264622002,0.2692723469824876,4.815606152695311,0.0456681369926914,3.3128477254663613,0.0050703303992116,6.140925307651826,11,4,0.8437386036963648
