fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_2.5,train_hits_2.5,test_ef_2.5,test_hits_2.5,full_ef_2.5,full_hits_2.5,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,test_auroc,test_auprc,test_bedroc
1,Equal Weights,13.205139565795303,28,15.898293029871978,6,13.612057385417227,34,11.00850321424642,47,15.79159307665136,12,11.731196712343388,59,8.255747777693838,88,9.487691001697792,18,8.441886316509544,106,6.370878455904311,136,7.106216884493112,27,6.481983268176178,163,5.0123823145717745,214,5.527057576827976,42,5.090146370101539,256,3.103461012526916,265,3.2241169198163195,49,3.121691328538834,314,0.7996780194111341,0.0344023395006919,0.16297412127214733
1,Random (mean of 100),10.861227292866637,23,11.738239687055477,4,10.993738111869323,27,8.85130503119941,37,10.053980925468032,7,9.03302146850441,45,6.495772455994561,69,7.421482739105829,14,6.635641206524295,83,5.081244015528977,108,5.737612151183328,21,5.180416934633809,130,4.285352655486224,182,4.632200635817732,35,4.337759109770906,218,2.80271807365261,239,2.9747413458142002,45,2.828709661494122,284,,,
1,Best Individual (GraphDTA_IC50),23.58060636749161,50,21.197724039829303,8,23.220568481005856,58,18.972101284126808,81,18.423525256093253,14,18.889215045298677,95,13.321774823096876,142,12.65025466893039,24,13.22031253340174,166,8.338355626110054,178,8.15898975626987,31,8.311254619931418,209,4.8015811891925875,205,4.211091487107029,32,4.7123620691955646,237,2.787259324458136,238,2.434537265983751,37,2.733965335503756,275,0.6498549844867125,0.04302700361551078,0.21076152629054107
2,Equal Weights,12.73352743844547,27,18.54800853485064,7,13.612057385417227,34,11.711173632177044,50,11.84369480748852,9,11.731196712343388,59,8.537193724660673,91,8.43350311262026,16,8.521526753457747,107,6.136654983260771,131,8.422182974214058,32,6.481983268176178,163,4.942115272778712,211,5.92184740374426,45,5.090146370101539,256,3.0683274916303853,262,3.4873101377605087,53,3.131633020667939,315,0.809688882262313,0.040222139752000174,0.15412194811397373
2,Random (mean of 100),10.799917716311159,22,12.135697012802275,4,11.001745204448978,27,8.865358439558019,37,10.001342281879195,7,9.036998145356053,45,6.451679257636422,68,7.6903006508206,14,6.638826824002223,83,5.0479842824135925,107,5.921847403744261,22,5.180019266948644,130,4.251156028480267,181,4.833543447545037,36,4.339150946668981,218,2.7922951291199722,238,3.039223684210525,46,2.8296044137857415,284,,,
2,Best Individual (Boltz_confidence),23.10899424014178,49,15.898293029871978,6,23.220568481005856,58,19.440548229413892,83,18.423525256093253,14,18.889215045298677,95,13.04032887613004,139,14.231536502546689,27,13.22031253340174,166,8.291510931581346,177,12.10688802543271,46,8.311254619931418,209,4.637624758342109,198,9.34335923701872,71,4.7123620691955646,237,2.7052811090328968,231,5.000671140939597,76,2.733965335503756,275,0.9580506684558422,0.06838555491270341,0.21861403702161578
3,Equal Weights,13.676751693145135,29,13.248577524893314,5,13.612057385417227,34,12.413844050107665,53,7.89579653832568,6,11.731196712343388,59,8.631009040316286,92,7.906409168081494,15,8.521526753457747,107,6.605101928547852,141,5.790250794772166,22,6.481983268176178,163,5.059227009100483,216,5.263864358883787,40,5.090146370101539,256,3.1385945334234475,268,3.158318615330272,48,3.141574712797043,316,0.785546550512258,0.025422721985635784,0.11467486056608586
3,Random (mean of 100),11.507335907335905,24,8.267112375533427,3,11.017759389608294,27,9.359569966835894,39,7.303611797951254,5,9.048928175910978,45,6.758455339830274,72,5.961432512733446,11,6.638030419632741,83,5.256911620011632,112,4.7743249735075945,18,5.183995943800286,130,4.351872121716989,185,4.271625927234193,32,4.339747448196727,218,2.8318788959967316,241,2.8181413811374068,42,2.8298032476283237,284,,,
3,Best Individual (GraphDTA_IC50),24.523830622191277,52,15.898293029871978,6,23.220568481005856,58,19.20632475677035,82,17.107559166372308,13,18.889215045298677,95,13.415590138752487,143,12.123160724391624,23,13.22031253340174,166,8.104132153466514,173,9.474955845990817,36,8.311254619931418,209,4.614202411077755,197,5.263864358883787,40,4.7123620691955646,237,2.7052811090328968,231,2.895125397386083,44,2.733965335503756,275,0.7471303080647795,0.04031616046042064,0.1946998838153568
4,Equal Weights,12.73352743844547,27,18.54800853485064,7,13.612057385417227,34,12.179620577464124,52,9.211762628046626,7,11.731196712343388,59,8.724824355971897,93,7.3793152235427275,14,8.521526753457747,107,6.651946623076561,142,5.527057576827976,21,6.481983268176178,163,5.152916398157899,220,4.737477922995408,36,5.090146370101539,256,3.1385945334234475,268,3.0925203108442245,47,3.131633020667939,315,0.7670442039944053,0.030185628991839644,0.13316204958046138
4,Random (mean of 100),10.771620988670168,22,12.32117709815078,4,11.005748750738809,27,9.05976392185216,38,9.001208053691274,6,9.050916514336798,45,6.783785475057288,72,5.850742784380307,11,6.642808845849632,83,5.287829118400579,112,4.6111451783821975,17,5.185586614540942,130,4.386537195668232,187,4.082126810314376,31,4.340542783567055,218,2.8515536676987874,243,2.7115481278700098,41,2.8303997491560704,284,,,
4,Best Individual (GraphDTA_IC50),23.10899424014178,49,23.847439544807965,9,23.220568481005856,58,18.503654338839727,79,21.055457435535146,16,18.889215045298677,95,13.415590138752487,143,12.123160724391624,23,13.22031253340174,166,8.291510931581346,177,8.422182974214058,32,8.311254619931418,209,4.731314147399526,202,4.605881314023313,35,4.7123620691955646,237,2.6935699354007197,230,2.96092370187213,45,2.733965335503756,275,0.702177717665268,0.059168466092121855,0.22944544968703384
5,Equal Weights,13.676751693145135,29,13.248577524893314,5,13.612057385417227,34,12.179620577464124,52,9.211762628046626,7,11.731196712343388,59,9.006270302938733,96,5.798033389926429,11,8.521526753457747,107,6.792480706662685,145,4.737477922995408,18,6.481983268176178,163,5.199761092686607,222,4.474284705051218,34,5.090146370101539,256,3.1503057070556246,269,3.0925203108442245,47,3.141574712797043,316,0.7822415457908226,0.02418682494494609,0.10810009892400975
5,Random (mean of 100),11.554497120070891,24,7.816660739687056,2,10.989734565579495,27,9.460286060072615,40,6.711427057576827,5,9.044951499059335,45,6.968601646898844,74,4.780742076966611,9,6.638030419632741,83,5.340295176272731,113,4.290049452490286,16,5.181609937689301,130,4.403635509171212,188,3.9926411162133526,30,4.341536952779966,218,2.8545985728431535,243,2.700362416107382,41,2.831294501447689,284,,,
5,Best Individual (Boltz_confidence),24.99544274954111,53,10.598862019914652,4,23.220568481005856,58,20.611665592631596,88,13.159660897209466,10,18.889215045298677,95,13.790851401374933,147,12.65025466893039,24,13.22031253340174,166,8.525734404224886,182,10.790921935711763,41,8.311254619931418,209,4.87184823098565,208,9.211762628046626,70,4.7123620691955646,237,2.787259324458136,238,5.000671140939597,76,2.733965335503756,275,0.9550842403459072,0.058793281821695326,0.1857303345211704
